# Document parsed from: Master_List_for_Atlas_Copco-2.xlsx

## Page 1

|Basic Material|Changed By|Business Partner|Organizational Unit|Changed on|Company Created|Created by|Created on|Desc. in English (as of 11.2025)|Old description|Ext. Matl Group|Material group|Material type||Purchasing document|Purchase doc Item|Purchasing org.||Size/Dimension|Vendor||Material|Counter of PO|Counter of Material|PO Value|PO Quantity|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811505|200|US02|Comptec|FLG 1" SS SOLON MTR 3.1/USA MATE|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209873|1|1|$ 427.20|96 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811505|210|US02|Comptec|1-1/4 DIA MTR 3.1/USA MATERIAL|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209886|1|1|$ 2,554.56|288 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|09/03/2025|Atlas Copco Comptec LLC|TBI-BERJOHN|08/27/2025|CURVED SPRING WASHER|#|#|CURVED SPRING WASHER|ZRH8|Purchased finished|45829461|10|US02|Comptec|7/8 DIA 14H168177|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314217076|1|1|$ 42.40|4 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|09/03/2025|Atlas Copco Comptec LLC|TBI-BERJOHN|08/27/2025|CURVED SPRING WASHER|#|#|CURVED SPRING WASHER|ZRH8|Purchased finished|45829461|20|US02|Comptec|7/8 DIA 14H168177|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314217076|1|1|$ 42.40|4 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|11/03/2025|Atlas Copco Comptec LLC|TBI-MORJACO|10/01/2025|CONICAL SPRING WASHER|#|#|CONICAL SPRING WASHER|ZRH8|Purchased finished|45837012|10|US02|Comptec|7/16-14 SOLON 7H89177|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314217640|1|1|$ 8.16|4 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|04/12/2025|Atlas Copco Comptec LLC|TBI-GIGJACK|04/11/2025|SCREW, SLOTTED PAN HD|#|#|SCREW,|ZRH8|Purchased finished|45814936|10|US02|Comptec|6-32 X .44|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314212985|1|1|$ 6.00|200 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|04/12/2025|Atlas Copco Comptec LLC|TBI-GIGJACK|04/11/2025|SCREW, SLOTTED PAN HD|#|#|SCREW,|ZRH8|Purchased finished|45838230|10|US02|Comptec|6-32 X .44|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314212985|1|1|$ 6.00|200 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45824340|10|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45824340|20|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45824340|30|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45824340|40|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45824340|50|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45824340|60|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45824340|70|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45824340|80|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45824340|90|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45824340|100|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|ENG-BATCH|Not assigned|Not assigned|07/10/2025|Atlas Copco Comptec LLC|TBI-STOMATT|07/09/2025|CROSS RECESS PAN HEAD SCREW|#|#|CROSS RECESS PAN HEAD SCREW|ZRH8|Purchased finished|45837012|40|US02|Comptec|#2 X 0.25" PAN HEAD PHILLIPS|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314215506|1|1|$ 0.24|12 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|Atlas Copco Comptec LLC|TBI-WILTRIS|02/13/2025|SCREW, BUTTON HEAD|#|#|SCREW,|ZRH8|Purchased finished|45815117|140|US02|Comptec|1/4"-20 X 0.500" LG HEX DRIVE|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209763|1|1|$ 0.36|6 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|Atlas Copco Comptec LLC|TBI-WILTRIS|02/13/2025|SCREW, BUTTON HEAD|#|#|SCREW,|ZRH8|Purchased finished|45820169|140|US02|Comptec|1/4"-20 X 0.500" LG HEX DRIVE|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209763|1|1|$ 0.48|8 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|10|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 10.30|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|70|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 10.30|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|80|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 10.30|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|90|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 10.30|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|100|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 10.30|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|110|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 5.15|1 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|140|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 5.15|1 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45815254|50|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 20.60|4 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45817614|10|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 5.15|1 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45817614|20|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 5.15|1 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45823561|10|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 10.30|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45832360|10|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 41.20|8 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/07/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45832360|20|US02|Comptec|M10, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212551|1|1|$ 41.20|8 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/11/2025|Atlas Copco Comptec LLC|TBI-WILTRIS|04/10/2025|SCREW, BUTTON HEAD|#|#|SCREW,|ZRH8|Purchased finished|45815402|10|US02|Comptec|#12-28 X 0.5" LG|1100001964|MC MASTER-CARR SUPPLY COMPANY|1314212906|1|1|$ 8.82|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/11/2025|Atlas Copco Comptec LLC|TBI-WILTRIS|04/10/2025|SCREW, BUTTON HEAD|#|#|SCREW,|ZRH8|Purchased finished|45815402|20|US02|Comptec|#12-28 X 0.5" LG|1100001964|MC MASTER-CARR SUPPLY COMPANY|1314212906|1|1|$ 8.82|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/11/2025|Atlas Copco Comptec LLC|TBI-WILTRIS|04/10/2025|SCREW, BUTTON HEAD|#|#|SCREW,|ZRH8|Purchased finished|45815769|10|US02|Comptec|#12-28 X 0.5" LG|1100001964|MC MASTER-CARR SUPPLY COMPANY|1314212906|1|1|$ 8.82|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/11/2025|Atlas Copco Comptec LLC|TBI-WILTRIS|04/10/2025|SCREW, BUTTON HEAD|#|#|SCREW,|ZRH8|Purchased finished|45815769|20|US02|Comptec|#12-28 X 0.5" LG|1100001964|MC MASTER-CARR SUPPLY COMPANY|1314212906|1|1|$ 8.82|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/11/2025|Atlas Copco Comptec LLC|TBI-WILTRIS|04/10/2025|SCREW, BUTTON HEAD|#|#|SCREW,|ZRH8|Purchased finished|45822172|10|US02|Comptec|#12-28 X 0.5" LG|1100001964|MC MASTER-CARR SUPPLY COMPANY|1314212906|1|1|$ 17.64|4 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/11/2025|Atlas Copco Comptec LLC|TBI-WILTRIS|04/10/2025|SCREW, BUTTON HEAD|#|#|SCREW,|ZRH8|Purchased finished|45822172|20|US02|Comptec|#12-28 X 0.5" LG|1100001964|MC MASTER-CARR SUPPLY COMPANY|1314212906|1|1|$ 17.64|4 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|20|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 39.04|8 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|30|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 39.04|8 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|40|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 39.04|8 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|50|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 39.04|8 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|60|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 39.04|8 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|120|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 185.44|38 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45812746|130|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 185.44|38 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45815254|10|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 390.40|80 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45817614|30|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 19.52|4 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45817614|40|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 19.52|4 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45817885|10|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 19.52|4 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45817885|20|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 19.52|4 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45817885|30|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 9.76|2 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45823716|10|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 97.60|20 PC|
|18-8 SS|GAP-ENOVIA|Not assigned|Not assigned|04/14/2025|Atlas Copco Comptec LLC|TBI-MANDAN|03/20/2025|SEAL, WASHER|#|#|SEAL,|ZRH8|Purchased finished|45824000|10|US02|Comptec|#6, SS/SILICONE RUBBER|1100002491|STERLING SEAL & SUPPLY INC.|1314212554|1|1|$ 97.60|20 PC|
